pat,phase,slope,color,x,y,relevance
3DFR,Maturity/Stability,0.004671747034246326,grey,7.0,2.0,Both
AC,Growth,9.016210596044626,blue,3.15,2.5,Both
AD,Growth,10.211981926764656,blue,3.3,2.5,Both
AM,Growth,5.0962641789363,blue,3.45,2.5,Both
AT,Growth,476.3360194493013,blue,3.6,2.5,Both
AW,Growth,0.8338182355974137,blue,3.75,2.5,Both
AdT,Growth,0.6119180692659402,blue,3.9,2.5,Both
BBD,Growth,0.4194273248419063,blue,4.05,2.5,Both
BC,Growth,3.218855744475268,blue,4.2,2.5,Both
BH,Growth,0.9243694385448525,blue,4.35,2.5,Both
BN,Growth,1.837596386462676,blue,3.0,2.6,Both
BO,Growth,0.4927178763009443,blue,3.15,2.6,Both
BT,Growth,1.5466410496851826,blue,3.3,2.6,Both
CA,Growth,15.183001751666286,blue,3.45,2.6,Both
CAPTCHA,Maturity/Stability,0.16930785212483404,blue,7.48,2.09,Both
CFI,Growth,0.5168281635204413,blue,3.75,2.6,Both
CP,Growth,5.105110862038369,blue,3.9,2.6,Both
CR,Growth,10.104397860440388,blue,4.05,2.6,Both
CS,Growth,6.698406299511017,blue,4.2,2.6,Both
DA,Growth,7.0887773420427465,blue,4.35,2.6,Both
DAS,Growth,2.3461929001174666,blue,3.0,2.7,Both
DB,Growth,10.264094852900993,blue,3.15,2.7,Both
DBI,Growth,1.568484166285377,blue,3.3,2.7,Both
DD,Growth,1.6590398508352036,blue,3.45,2.7,Both
DLD,Growth,0.43635804503114234,blue,3.6,2.7,Both
DLP,Growth,0.4734541752955305,blue,3.75,2.7,Both
DLT,Growth,0.48195101331164,blue,3.9,2.7,Both
DM,Growth,4.422147524106758,blue,4.05,2.7,Both
DNSSEC,Maturity/Stability,0.13350729508833453,blue,7.96,2.18,Both
DP,Growth,1.9354921354280552,blue,4.35,2.7,Both
DR,Growth,5.091014515269905,blue,3.0,2.8,Both
DRM,Growth,0.5318621121920079,blue,3.15,2.8,Both
DS,Growth,2.8065042562418188,blue,3.3,2.8,Both
DT,Growth,2.0864762526292067,blue,3.45,2.8,Both
DW,Growth,1.498441469419259,blue,3.6,2.8,Both
FIM,Growth,0.44641341362799775,blue,3.75,2.8,Both
FV,Growth,0.9525436454719639,blue,3.9,2.8,Both
GA,Growth,6.386964811311757,blue,4.05,2.8,Both
GM,Growth,2.3089222941365395,blue,4.2,2.8,Both
GT,Growth,1.343967997944441,blue,4.35,2.8,Both
HG,Growth,3.881773408476311,blue,3.0,2.9,Both
HP,Growth,1.7671139056865979,blue,3.15,2.9,Both
Https,Growth,5.200410642823977,blue,3.3,2.9,Both
IBE,Growth,0.21368358185241285,blue,3.45,2.9,Both
IDS/IPS,Maturity/Stability,0.06902473456376125,blue,7.48,2.36,Both
IR,Growth,14.809984754015533,blue,3.75,2.9,Both
IdM,Growth,0.3599897464672169,blue,3.9,2.9,Both
KD,Growth,1.595796545068703,blue,4.05,2.9,Both
LD,Growth,1.689869914021532,blue,4.2,2.9,Both
LP,Growth,2.4156275395746833,blue,4.35,2.9,Both
MA,Growth,12.520423302283707,blue,3.0,3.0,Both
MFA,Growth,0.5033851570182757,blue,3.15,3.0,Both
ML/DL,Maturity/Stability,0.05222578982373209,blue,7.24,2.45,Both
MS,Growth,22.226056292340616,blue,3.45,3.0,Both
MTD,Growth,0.5404467949500463,blue,3.6,3.0,Both
NI,Growth,9.968990726070825,blue,3.75,3.0,Both
NLP/LLM,Maturity/Stability,0.0899910560021038,blue,7.72,2.45,Both
NS,Growth,4.698588764750886,blue,4.05,3.0,Both
OD,Growth,1.195840208680481,blue,4.2,3.0,Both
OTP,Growth,0.22272214022549786,blue,4.35,3.0,Both
PF,Growth,2.1994010018302084,blue,3.0,3.1,Both
PH,Growth,20.644552590963738,blue,3.15,3.1,Both
PKI,Maturity/Stability,0.1933798423180215,blue,7.24,2.54,Both
PM,Growth,4.842916208547322,blue,3.45,3.1,Both
PMT,Growth,0.7133296353000047,blue,3.6,3.1,Both
PP,Growth,3.777017233255039,blue,3.75,3.1,Both
PSM,Growth,0.8199125436636128,blue,3.9,3.1,Both
PT,Growth,7.0307591578343915,blue,4.05,3.1,Both
PrP,Growth,0.7556401232739438,blue,4.2,3.1,Both
RA,Growth,4.28539590902264,blue,4.35,3.1,Both
RC,Growth,2.983758246148392,blue,3.0,3.2,Both
RL,Growth,1.411915492344573,blue,3.15,3.2,Both
RRAM,Maturity/Stability,0.004581654822076118,grey,7.24,2.63,Both
SA,Growth,3.9967278967370343,blue,3.45,3.2,Both
SAT,Growth,1.044647136768261,blue,3.6,3.2,Both
SB,Growth,2.802960055691384,blue,3.75,3.2,Both
SBX,Growth,0.22666028162816215,blue,3.9,3.2,Both
SC,Growth,4.808019464666201,blue,4.05,3.2,Both
SCRM,Maturity/Stability,0.14908829935780904,blue,7.96,2.63,Both
SDN,Growth,1.790948080849822,blue,4.35,3.2,Both
SHMM,Maturity/Stability,0.11711665800401436,blue,7.0,2.7199999999999998,Both
SI,Growth,14.119085138494372,blue,3.15,3.3,Both
SIEM,Maturity/Stability,-0.0011116774765761604,grey,7.24,2.7199999999999998,Both
SM,Growth,3.057696255770586,blue,3.45,3.3,Both
SMF,Growth,0.5978905204292784,blue,3.6,3.3,Both
SS,Growth,3.8727922773027856,blue,3.75,3.3,Both
SSL/TLS,Maturity/Stability,0.12871345106538387,blue,7.72,2.7199999999999998,Both
SSP,Growth,1.1107946009069058,blue,4.05,3.3,Both
TA,Growth,3.3727501288994124,blue,4.2,3.3,Both
TAI,Growth,0.7218481210561933,blue,4.35,3.3,Both
TS,Growth,2.269959243027489,blue,3.0,3.4,Both
UBA,Growth,0.2179615514261743,blue,3.15,3.4,Both
VA,Growth,1.9537437278907688,blue,3.3,3.4,Both
VK,Growth,0.22499971456461149,blue,3.45,3.4,Both
VM,Growth,1.1198521860829624,blue,3.6,3.4,Both
VPN,Growth,0.3798799914913578,blue,3.75,3.4,Both
VS,Growth,45.72882464215466,blue,3.9,3.4,Both
